kton/a,Electric arc,Integrated steelworks,DRI + Electric arc,Other chemicals,Pharmaceutical products etc.,Cement,Ceramics & other NMM,Glass production,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Other non-ferrous metals,Transport equipment,Machinery equipment,Textiles and leather,Wood and wood products,Other industrial sectors,Ammonia,HVC,Chlorine,Methanol,HVC (mechanical recycling),HVC (chemical recycling)
NL,298.14,6358.73,0.00,763.60,161.00,2303.00,4458.00,1540.54,33.82,2895.00,361.99,17236.48,0.00,73.78,7.32,650.30,4104.26,18273.55,1822.34,239.70,56080.26,2671.43,8397.68,1820.13,284.99,1481.94,0.00
NO,1970.11,2407.90,0.00,764.87,293.15,10122.93,18182.62,2061.58,537.86,1215.44,139.42,3382.16,0.00,0.00,0.00,0.00,1827.29,4107.08,192.32,723.26,2100.37,364.29,1238.87,268.51,42.04,218.62,0.00
PL,4256.84,4699.22,0.00,2933.51,103.09,18946.00,20000.00,3490.73,1622.54,4879.73,256.85,19209.33,0.00,0.00,499.26,1234.07,18633.39,26098.38,2224.97,4776.04,38017.10,2551.21,676.90,146.71,22.97,119.45,0.00
PT,2032.85,0.00,0.00,335.59,66.11,4297.56,8970.44,1791.55,2744.90,2024.50,251.02,4022.89,0.00,0.00,20.11,72.96,3145.49,5291.72,5474.97,616.53,12429.86,0.00,543.16,117.73,18.43,95.85,0.00
RO,1219.50,2228.82,0.00,1519.10,97.13,9120.93,3840.69,358.70,0.00,569.05,165.97,4973.79,461.00,254.73,33.57,128.00,11030.61,14771.50,3064.38,1352.15,29726.80,570.71,83.60,18.12,2.84,14.75,0.00
RS,1088.23,1330.06,0.00,192.43,73.75,413.38,742.50,84.19,129.55,292.74,33.58,3394.48,0.00,0.00,0.00,0.00,928.59,3861.61,1292.15,90.50,3484.12,0.00,0.00,0.00,0.00,0.00,0.00
SE,1736.42,2984.43,0.00,99.65,124.31,2844.00,893.04,460.00,12079.00,9616.00,174.96,3022.26,0.00,109.17,10.83,477.42,7573.55,11060.17,373.64,2402.80,47456.48,0.00,935.77,202.82,31.76,165.14,0.00
SI,623.20,0.00,0.00,106.95,64.28,1035.00,1960.00,99.18,92.00,775.61,26.83,588.77,0.00,61.86,11.44,108.00,1401.26,6368.84,281.83,212.92,4611.61,0.00,22.19,4.81,0.75,3.92,0.00
SK,436.79,3494.02,0.00,119.26,47.34,3977.53,1875.00,242.98,653.00,805.85,223.64,1358.77,0.00,159.02,15.77,36.35,6833.44,8383.47,405.69,211.48,6094.99,507.57,209.87,45.49,7.12,37.04,0.00
XK,172.93,211.35,0.00,0.67,0.26,121.98,219.11,24.84,0.11,0.25,0.03,455.86,0.00,0.00,0.00,0.00,0.00,40.17,0.00,0.00,1415.18,0.00,1.29,0.28,0.04,0.23,0.00
